"date"	"annee"	"mois"	"jour"	"secteur"	"horaire"	"personnes_plage"	"personnes_eau"	"pmt"	"vaches"	"observateurs"	"commentaires"	"commentaires_secteur"
2023-09-06	2023	"septembre"	6	"Mezzanu"	12:00:00	8	3	3	0	"Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"Mezzanu"	15:00:00	2	1	0	0	"Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"Mezzanu"	17:00:00	1	0	0	0	"Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"Saleccia"	09:00:00	8	0	0	0	"Camille Lemaire, Stephane Bordewie, Alexandre Raibaldi, Alexandre Crispi"	"Un drone 2 personnes dans dunes"	NA
2023-09-06	2023	"septembre"	6	"Saleccia"	12:00:00	254	55	19	0	"Camille Lemaire, Stephane Bordewie, Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"Saleccia"	14:45:00	307	29	3	0	"Camille Lemaire, Stephane Bordewie, Alexandre Raibaldi, Alexandre Crispi"	"2 annexes"	NA
2023-09-06	2023	"septembre"	6	"Saleccia"	16:45:00	189	23	2	0	"Camille Lemaire, Stephane Bordewie, Alexandre Raibaldi, Alexandre Crispi"	NA	NA
2023-09-06	2023	"septembre"	6	"U Travu"	09:00:00	0	0	0	1	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"U Travu"	12:00:00	10	3	1	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"U Travu"	15:00:00	2	0	0	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2023-09-06	2023	"septembre"	6	"U Travu"	17:00:00	0	0	0	0	"F. Sorbara, F. Giorgetti, L. Ceccaldi"	NA	NA
2024-06-26	2024	"juin"	26	"Ghignu"	09:00:00	6	4	2	1	"Laurent Ceccalci, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Ghignu"	12:00:00	23	11	NA	1	"Laurent Ceccalci, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Ghignu"	14:45:00	30	7	NA	2	"Laurent Ceccalci, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Ghignu"	16:45:00	19	5	NA	4	"Laurent Ceccalci, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Lotu"	09:00:00	8	1	0	1	"Aurelie Essartier, Dimitri Veyssieres, Emma Demeaux"	NA	NA
2024-06-26	2024	"juin"	26	"Lotu"	12:00:00	246	38	3	0	"Aurelie Essartier, Dimitri Veyssieres, Emma Demeaux"	NA	NA
2024-06-26	2024	"juin"	26	"Lotu"	14:45:00	338	50	2	3	"Aurelie Essartier, Dimitri Veyssieres, Emma Demeaux"	NA	NA
2024-06-26	2024	"juin"	26	"Lotu"	16:45:00	232	50	4	1	"Aurelie Essartier, Dimitri Veyssieres, Emma Demeaux"	NA	NA
2024-06-26	2024	"juin"	26	"Malfalcu"	09:00:00	2	1	0	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Malfalcu"	12:00:00	4	1	1	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Malfalcu"	14:45:00	2	0	0	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Malfalcu"	16:45:00	2	0	0	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"Mezzanu"	09:00:00	0	0	0	0	"Alexandre Crispi, Cedric Minicucci"	"oubli impression Jade"	"oubli impression Jade"
2024-06-26	2024	"juin"	26	"Mezzanu"	12:00:00	0	0	0	0	"Alexandre Crispi, Cedric Minicucci"	"oubli impression Jade"	"oubli impression Jade"
2024-06-26	2024	"juin"	26	"Mezzanu"	14:45:00	0	0	0	0	"Alexandre Crispi, Cedric Minicucci"	"oubli impression Jade"	"oubli impression Jade"
2024-06-26	2024	"juin"	26	"Mezzanu"	16:45:00	0	0	0	0	"Alexandre Crispi, Cedric Minicucci"	"oubli impression Jade"	"oubli impression Jade"
2024-06-26	2024	"juin"	26	"Saleccia"	09:00:00	8	0	0	0	"Dominique Cioni, Jade Larose"	NA	NA
2024-06-26	2024	"juin"	26	"Saleccia"	12:00:00	366	118	12	0	"Dominique Cioni, Jade Larose"	NA	NA
2024-06-26	2024	"juin"	26	"Saleccia"	14:45:00	476	96	9	0	"Dominique Cioni, Jade Larose"	NA	NA
2024-06-26	2024	"juin"	26	"Saleccia"	16:45:00	254	42	5	0	"Dominique Cioni, Jade Larose"	NA	NA
2024-06-26	2024	"juin"	26	"U Travu"	09:00:00	1	3	1	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"U Travu"	12:00:00	15	6	0	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"U Travu"	14:45:00	6	3	2	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-06-26	2024	"juin"	26	"U Travu"	16:45:00	9	2	0	0	"Laurent Ceccaldi, Axel Priouzeau"	NA	NA
2024-07-29	2024	"juillet"	29	"Ghignu"	09:00:00	12	0	0	1	"Jean-Philippe Chaubon, Luc Bruni"	NA	NA
2024-07-29	2024	"juillet"	29	"Ghignu"	12:00:00	14	33	1	0	"Jean-Philippe Chaubon, Luc Bruni"	NA	NA
2024-07-29	2024	"juillet"	29	"Ghignu"	14:45:00	27	35	4	0	"Jean-Philippe Chaubon, Luc Bruni"	NA	NA
2024-07-29	2024	"juillet"	29	"Ghignu"	16:45:00	31	36	4	0	"Jean-Philippe Chaubon, Luc Bruni"	NA	NA
2024-07-29	2024	"juillet"	29	"Lotu"	09:00:00	12	26	8	1	"Julie Enjalbert, Aurelie Essartier"	"debut du comptage a 9h10, potentiellement deja une navette ayant deja fait une rotation"	NA
2024-07-29	2024	"juillet"	29	"Lotu"	12:00:00	254	193	15	0	"Julie Enjalbert, Aurelie Essartier"	NA	NA
2024-07-29	2024	"juillet"	29	"Lotu"	14:45:00	291	211	18	0	"Julie Enjalbert, Aurelie Essartier"	NA	NA
2024-07-29	2024	"juillet"	29	"Lotu"	16:45:00	243	157	14	0	"Julie Enjalbert, Aurelie Essartier"	NA	NA
2024-07-29	2024	"juillet"	29	"Malfalcu"	09:00:00	0	0	0	3	"Jean-Philippe Chaubon, Luc Bruni"	NA	NA
2024-07-29	2024	"juillet"	29	"Malfalcu"	12:00:00	0	4	0	0	"Jean-Philippe Chaubon, Luc Bruni"	NA	NA
2024-07-29	2024	"juillet"	29	"Malfalcu"	14:45:00	0	0	0	0	"Jean-Philippe Chaubon, Luc Bruni"	NA	NA
