"date","annee","mois","secteur","horaire","force_vent","etat_mer","couverture_nuageuse","temperature_sol","direction_vent","direction_houle","observateurs","commentaires"
2022-08-10,2022,"août","Fiume Santu",12:00:00,"F3","belle","0-10",32,"E",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Fiume Santu",15:00:00,"F4","peu agitee","0-10",33,"NE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Fiume Santu",17:00:00,NA,NA,NA,NA,NA,NA,NA,"Pas de comptage problème échouage"
2022-08-10,2022,"août","Lotu",09:00:00,"F2","belle","0-10",28,"SE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Lotu",12:00:00,"F2","belle","0-10",32,"ESE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Lotu",15:00:00,"F2","belle","0-10",33,"E",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Lotu",17:00:00,NA,NA,NA,NA,NA,NA,NA,"Pas de comptage problème échouage"
2022-08-10,2022,"août","Petit Lotu",09:00:00,"F2","belle","0-10",28,"SE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Petit Lotu",12:00:00,"F2","belle","0-10",32,"ESE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Petit Lotu",15:00:00,"F2","belle","0-10",33,"E",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Petit Lotu",17:00:00,NA,NA,NA,NA,NA,NA,NA,"Pas de comptage problème échouage"
2022-08-10,2022,"août","Saleccia",09:00:00,"F2","belle","0-10",28,"SE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Saleccia",12:00:00,"F2","belle","0-10",32,"ESE",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Saleccia",15:00:00,"F2","belle","0-10",33,"E",NA,"Laurent Ricquiers, Axel Priouzeau",NA
2022-08-10,2022,"août","Saleccia",17:00:00,NA,NA,NA,NA,NA,NA,NA,"Pas de comptage problème échouage"
2022-09-12,2022,"septembre","Lotu",09:00:00,"F0","calme","0-10",26,NA,NA,"Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Lotu",12:00:00,"F1","ridee","0-10",27,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Lotu",15:00:00,"F0","ridee","10-25",28,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Lotu",17:00:00,"F0","ridee","10-25",28,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Mezzanu",09:00:00,"F0","calme","0-10",26,NA,NA,"Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Mezzanu",12:00:00,"F1","ridee","0-10",27,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Mezzanu",15:00:00,"F0","ridee","10-25",28,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Mezzanu",17:00:00,"F0","ridee","10-25",28,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Saleccia",09:00:00,"F0","calme","0-10",26,NA,NA,"Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Saleccia",12:00:00,"F1","ridee","0-10",27,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Saleccia",15:00:00,"F0","ridee","10-25",28,"N","S","Alex, Cédric, Perrine",NA
2022-09-12,2022,"septembre","Saleccia",17:00:00,"F0","ridee","10-25",28,"N","S","Alex, Cédric, Perrine",NA
2023-06-23,2023,"juin","A Torra di Murtella",09:00:00,"F0","calme","0-10",28,NA,NA,"Laurent, Jean Phi",NA
2023-06-23,2023,"juin","A Torra di Murtella",12:00:00,"F1","calme","0-10",30,"O",NA,"Laurent, Jean Phi",NA
2023-06-23,2023,"juin","A Torra di Murtella",15:00:00,"F2","belle","0-10",30,"O","E","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","A Torra di Murtella",17:00:00,"F3","belle","0-10",30,"O","E","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Fiume Santu",09:00:00,"F0","calme","0-10",29,NA,NA,"Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Fiume Santu",12:00:00,"F1","calme","0-10",30,"O",NA,"Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Fiume Santu",15:00:00,"F2","belle","0-10",30,"O","E","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Fiume Santu",17:00:00,"F3","belle","0-10",30,"O","E","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Ghignu",09:00:00,"F3","peu agitee","0-10",25,"O","E","Laurent CECCALDI",NA
2023-06-23,2023,"juin","Ghignu",12:00:00,"F3","peu agitee","0-10",26,"O","E","Laurent CECCALDI",NA
2023-06-23,2023,"juin","Ghignu",15:00:00,"F3","peu agitee","0-10",28,"O","E","Laurent CECCALDI",NA
2023-06-23,2023,"juin","Ghignu",17:00:00,"F3","peu agitee","0-10",26,"O","E","Laurent CECCALDI",NA
2023-06-23,2023,"juin","Lotu",09:00:00,"F1","ridee","0-10",26,"SE","SE","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Lotu",12:00:00,"F2","ridee","0-10",29,"SE","SE","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Lotu",15:00:00,"F2","belle","0-10",30,"O","E","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Lotu",17:00:00,"F3","belle","0-10",30,"O","E","Laurent, Jean Phi",NA
2023-06-23,2023,"juin","Malfalcu",09:00:00,"F3","peu agitee","10-25",25,"O","E","Laurent CECCALDI",NA
2023-06-23,2023,"juin","Malfalcu",12:00:00,"F3","peu agitee","10-25",26,"O","E","Laurent CECCALDI",NA
2023-06-23,2023,"juin","Malfalcu",15:00:00,"F4","agitee","10-25",28,"O","E","Laurent CECCALDI",NA
2023-06-23,2023,"juin","Malfalcu",17:00:00,NA,NA,NA,NA,NA,NA,"Laurent CECCALDI","Non réalisé car mauvais temps"
2023-06-23,2023,"juin","Mezzanu",09:00:00,"F1","ridee","0-10",26,"SE","SE","Laurent, Jean Phi",NA
