"date";"annee";"mois";"jour";"secteur";"horaire";"societes";"nombre_arrivees";"nombre_de_personnes";"ponton";"chenal";"observateurs";"commentaires";"commentaires_secteur"
2020-07-29;2020;"juillet";29;"Saleccia";16:00:00;"Autres activites";0;0;NA;NA;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"U Saleccia";1;162;1;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Taxi boat (popeye/saleccia)";1;2;0;1;NA;"1  intention de debarquer au ponton";NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Taxi plage";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Quadrimarant";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Speed boat";1;2;0;1;NA;"1  intention de debarquer au ponton (maffalcu)";NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Autres societes";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Particuliers";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Jet ski";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Kayak";2;3;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Paddle";2;3;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";09:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"U Saleccia";1;206;1;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Taxi boat (popeye/saleccia)";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Taxi plage";1;7;0;1;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Quadrimarant";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Autres societes";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Particuliers";4;12;0;4;NA;"1 intention de debarquer au ponton 2 annexes + semi-rigide en zone de baignade";NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Jet ski";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Kayak";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Paddle";3;4;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";10:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"U Saleccia";1;217;1;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Taxi boat (popeye/saleccia)";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Taxi plage";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Mare e Stagnu";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Quadrimarant";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Speed boat";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Autres societes";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Particuliers";5;18;0;5;NA;"3 intentions de debarquer au ponton";NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Jet ski";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Kayak";3;3;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Paddle";2;2;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";11:00:00;"Autres activites";0;0;0;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";12:00:00;"U Saleccia";1;162;1;0;NA;NA;NA
2020-08-13;2020;"aout";13;"Lotu";12:00:00;"Taxi beach";0;0;0;0;NA;NA;NA
